factory_code	EF_code	transformer_name	voltage	ONAN_val	ONAF_val	operation_start_time	dga_diag_time	dga_h2	dga_c2h2	dga_c2h4	dga_c2h6	dga_ch4	dga_c3h8	dga_co	dga_co2	dga_o2	dga_n2	dga_fluc	load_percent	coil_max_temp	dielec_str_te_1	dielec_str_te_2	dielec_str_te_3	dielec_str_te_4	dielec_str_te_5	dielec_str_te_6	acid_measure_val	moisture_rslt	furan_diag_time	furan_5H2F	furan_2FOL	furan_2FAL	furan_2ACF	furan_5M2F	part_discharge_diag	oltc_96T_diag	oltc_rslt	oltc_type	thermal_img_temp	noise_diag	fire_vul_type	fire_spread_loc	emerge_response_1s	redundancy	ato	online_og_chk	offline_safety_chk	sec_num	alarm_num	insul_1st_lvup	high_insul_adt	double_insul	55k_install	sfra_test	rip_install	vacuum_set	점검자	비고
P1	EF1	BANK116	154000	30	30	2024-07-30	2020-06-01	0	0	24	288	6	42	341	1693	16755	94346	60	24.3	43	44.1	58.0	49.6	40.6	52.4	50.7	0.03	26.5	2020-06-01	0	0	9	0	0	양호	정상	0	Oil	정상	이상	유입	옥내	가능	N+1	적용	적용	적용	4	5	미적용	미적용	미적용	적용	적용	적용	미적용	홍길동26	정기점검
H1	EF1	BANK117	22900	35	100	2015-07-30	2020-06-01	0	0	37	288	72	56	602	921	19220	73379	1	91.1	47	47.2	53.3	54.5	44.5	35.2	37.1	0.03	34.3	2020-06-01	0	0	1	0	0	양호	정상	13000	Oil	이상	정상	몰드	옥내	가능	N+1	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동27	정기점검
H2	EF1	TR111	22900	25	30	2020-02-16	2020-06-01	0	0	89	394	36	95	578	829	28164	31067	-17	49.8	49	39.2	35.7	53.5	54.0	37.9	42.0	0.03	19.9	2020-06-01	0	0	10	0	0	이상	이상	6000	Oil	정상	이상	몰드	옥외	불가	N+1	적용	미적용	적용	4	5	적용	미적용	적용	적용	적용	적용	적용	홍길동28	정기점검
H1	EF1	TR112	22900	35	30	2023-09-08	2020-06-01	0	0	81	288	97	19	565	602	25890	77410	30	15.7	49	49.1	48.4	46.8	48.0	53.4	33.2	0.02	26.9	2020-06-01	0	0	11	0	0	이상	정상	0	Oil	이상	정상	유입	옥내	불가	N+0	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	미적용	홍길동29	정기점검
H1	EF1	TR113	22900	80	30	2020-08-20	2020-06-01	0	0	82	288	43	68	501	697	27553	71283	60	16.5	48	47.9	48.3	35.3	56.9	51.8	41.2	0.02	17.9	2020-06-01	0	0	20	0	0	양호	정상	6000	Oil	이상	정상	몰드	옥외	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동30	정기점검
H2	EF1	BANK118	22900	30	30	2022-05-12	2020-06-01	0	0	37	394	54	100	98	1306	29763	62777	-1	24.3	58	40.3	42.4	50.7	32.7	33.6	45.3	0.02	29.2	2020-06-01	0	0	2	0	0	이상	정상	13000	Vaccum	정상	정상	유입	옥내	가능	N+N	적용	미적용	적용	4	5	적용	적용	적용	미적용	적용	미적용	적용	홍길동31	정기점검
H1	EF1	BANK119	154000	35	37.5	2018-07-19	2020-06-01	0	0	35	394	98	98	534	1379	25275	66866	60	37.1	55	35.0	39.0	54.5	50.1	52.8	41.4	0.02	26.0	2020-06-01	0	0	5	0	0	양호	이상	6000	Oil	정상	정상	몰드	옥내	불가	N+1	미적용	적용	적용	4	5	미적용	적용	미적용	적용	적용	적용	적용	홍길동32	정기점검
H2	EF1	TR114	22900	35	30	2017-07-02	2020-06-01	0	0	36	0	7	53	255	1908	21475	41780	1	14.9	46	47.1	55.2	57.3	40.7	48.8	55.9	0.02	24.7	2020-06-01	0	0	12	0	0	양호	정상	18000	Oil	정상	정상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	미적용	적용	미적용	홍길동33	정기점검
H1	EF1	TR115	22900	25	30	2022-12-06	2020-06-01	0	0	94	394	97	34	454	1655	29824	41357	60	76.6	53	47.4	35.8	43.0	51.0	41.9	45.2	0.03	20.4	2020-06-01	0	0	18	0	0	양호	정상	18000	Vaccum	정상	이상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동34	정기점검
H2	EF1	TR116	22900	80	30	2023-04-22	2020-06-01	0	0	20	394	90	37	322	652	11550	39316	60	44.5	49	34.6	57.3	59.1	43.3	45.0	35.8	0.02	34.5	2020-06-01	0	0	0	0	0	이상	이상	9000	Vaccum	정상	이상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	적용	적용	홍길동35	정기점검
H2	EF1	TR117	22900	30	43.75	2024-08-01	2020-06-01	0	0	52	0	6	96	84	2817	12717	32839	-17	51.5	44	48.4	57.5	51.5	36.3	43.3	45.3	0.02	21.5	2020-06-01	0	0	16	0	0	양호	이상	13000	Vaccum	이상	이상	유입	옥내	가능	N+0	적용	적용	미적용	4	5	미적용	적용	적용	적용	적용	미적용	적용	홍길동36	정기점검
K1	EF1	BANK120	22900	30	100	2015-06-13	2020-06-01	0	0	33	288	87	45	274	737	23529	45611	-17	56.0	50	53.9	37.2	47.8	53.8	58.0	58.9	0.02	22.1	2020-06-01	0	0	10	0	0	양호	정상	18000	Vaccum	정상	정상	몰드	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	미적용	미적용	적용	적용	적용	홍길동37	정기점검
H1	EF1	BANK121	22900	25	100	2024-08-09	2020-06-01	0	0	38	394	84	34	235	857	28744	56670	-1	12.0	42	39.8	43.0	30.1	32.7	53.0	52.6	0.02	27.4	2020-06-01	0	0	18	0	0	양호	이상	18000	Vaccum	이상	정상	몰드	옥외	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동38	정기점검
H2	EF1	TR118	154000	80	43.75	2016-09-07	2020-06-01	0	0	42	0	17	20	359	2097	19230	35095	30	28.0	47	55.2	40.6	46.6	51.1	53.9	44.8	0.02	31.2	2020-06-01	0	0	2	0	0	이상	정상	13000	Vaccum	정상	이상	유입	옥외	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동39	정기점검
H2	EF1	TR119	154000	80	100	2015-01-06	2020-06-01	0	0	71	394	74	33	474	2133	19842	58101	1	31.5	51	54.5	44.0	57.8	45.5	45.1	58.7	0.03	31.4	2020-06-01	0	0	14	0	0	양호	정상	18000	Vaccum	정상	이상	유입	옥내	가능	N+0	적용	적용	적용	4	5	적용	적용	적용	미적용	미적용	미적용	적용	홍길동40	정기점검
H2	EF1	TR120	22900	25	37.5	2020-05-08	2020-06-01	0	0	29	288	18	84	356	2137	18722	59869	-1	60.6	48	39.5	49.9	39.4	30.0	46.3	35.4	0.03	30.4	2020-06-01	0	0	19	0	0	양호	정상	13000	Vaccum	정상	정상	유입	옥외	가능	N+N	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동41	정기점검
H2	EF1	BANK122	154000	35	37.5	2021-07-06	2020-06-01	0	0	16	394	40	2	500	656	23912	95347	60	28.3	42	55.0	54.9	47.2	52.9	41.5	45.1	0.03	24.2	2020-06-01	0	0	2	0	0	이상	이상	6000	Oil	이상	이상	유입	옥외	가능	N+1	적용	적용	적용	4	5	적용	미적용	미적용	적용	미적용	적용	적용	홍길동42	정기점검
H2	EF1	TR121	154000	30	43.75	2019-05-26	2020-06-01	0	0	98	288	11	19	379	981	28255	71401	-1	89.9	60	36.9	47.5	51.3	50.9	46.0	41.2	0.02	15.0	2020-06-01	0	0	1	0	0	이상	정상	13000	Vaccum	이상	정상	몰드	옥내	가능	N+1	적용	적용	적용	4	5	미적용	적용	적용	미적용	적용	적용	적용	홍길동43	정기점검
K1	EF1	BANK123	154000	80	43.75	2022-11-27	2020-06-01	0	0	94	288	6	8	181	1389	12555	56084	1	61.7	59	45.4	48.5	51.5	37.2	35.6	55.1	0.02	23.7	2020-06-01	0	0	18	0	0	양호	이상	18000	Oil	정상	이상	유입	옥내	가능	N+N	적용	적용	미적용	4	5	적용	미적용	미적용	적용	적용	미적용	적용	홍길동44	정기점검
K1	EF1	TR122	154000	80	43.75	2015-04-29	2020-06-01	0	0	89	0	18	7	623	2315	25996	80314	-1	72.6	53	39.1	42.7	34.5	53.1	35.5	54.2	0.03	32.7	2020-06-01	0	0	0	0	0	이상	정상	18000	Vaccum	정상	이상	유입	옥내	가능	N+0	적용	적용	적용	4	5	미적용	미적용	적용	적용	미적용	미적용	미적용	홍길동45	정기점검
H1	EF1	TR123	154000	30	100	2022-04-08	2020-06-01	0	0	62	0	13	88	310	1737	13756	37529	1	7.8	58	30.7	52.9	40.6	48.0	39.3	43.1	0.03	23.6	2020-06-01	0	0	2	0	0	양호	정상	0	Oil	정상	이상	몰드	옥내	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용	홍길동46	정기점검
P1	EF1	BANK124	154000	25	30	2019-05-17	2020-06-01	0	0	14	394	2	20	577	779	23387	86248	30	18.9	52	55.3	56.1	31.7	35.4	40.9	32.6	0.03	21.1	2020-06-01	0	0	8	0	0	양호	이상	9000	Oil	정상	이상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동47	정기점검
K1	EF1	BANK125	22900	25	100	2015-09-03	2020-06-01	0	0	81	394	14	84	440	2942	25955	69129	-17	13.7	53	52.3	37.0	52.6	37.6	50.1	33.2	0.02	18.1	2020-06-01	0	0	12	0	0	양호	이상	9000	Oil	이상	정상	몰드	옥내	가능	N+0	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	미적용	적용	홍길동48	정기점검
H1	EF1	TR124	154000	25	30	2018-09-16	2020-06-01	0	0	23	394	19	19	356	930	18537	85642	-17	66.6	41	55.1	34.3	45.6	54.6	32.6	42.4	0.02	17.3	2020-06-01	0	0	2	0	0	양호	이상	0	Vaccum	이상	정상	몰드	옥내	가능	N+N	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동49	정기점검
P1	EF1	BANK126	22900	80	30	2021-01-17	2020-06-01	0	0	31	0	39	72	156	2429	28019	69245	60	49.0	56	50.8	31.3	45.8	31.6	57.2	32.5	0.03	29.1	2020-06-01	0	0	11	0	0	양호	정상	6000	Oil	정상	이상	유입	옥내	가능	N+1	미적용	적용	적용	4	5	적용	적용	미적용	미적용	적용	적용	적용	홍길동50	정기점검
H2	EF1	TR125	22900	35	43.75	2019-07-28	2020-06-01	0	0	20	0	53	99	235	1001	17412	65696	60	12.7	55	52.8	44.7	56.2	48.4	58.4	34.8	0.02	22.2	2020-06-01	0	0	15	0	0	이상	이상	13000	Oil	정상	정상	유입	옥내	불가	N+1	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용	홍길동51	정기점검
H2	EF1	BANK127	154000	25	100	2024-01-26	2020-06-01	0	0	75	288	4	47	229	2315	19276	42760	-17	36.7	55	31.6	44.9	56.7	42.2	56.4	58.2	0.03	30.5	2020-06-01	0	0	7	0	0	양호	정상	9000	Vaccum	이상	정상	유입	옥내	가능	N+0	적용	적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용	홍길동52	정기점검
H2	EF1	BANK128	22900	35	37.5	2024-04-18	2020-06-01	0	0	84	394	49	89	129	877	18361	52258	60	25.0	59	39.5	48.0	58.6	52.2	38.8	53.0	0.03	33.2	2020-06-01	0	0	20	0	0	이상	이상	0	Oil	정상	정상	몰드	옥내	가능	N+1	미적용	적용	적용	4	5	적용	미적용	적용	적용	적용	적용	적용	홍길동53	정기점검
H1	EF1	TR126	154000	30	37.5	2023-04-27	2020-06-01	0	0	63	0	49	39	314	2121	21297	96966	-17	75.9	53	31.5	53.9	30.8	47.5	41.7	34.7	0.02	17.9	2020-06-01	0	0	10	0	0	양호	이상	0	Vaccum	이상	이상	유입	옥외	불가	N+0	미적용	적용	적용	4	5	미적용	적용	적용	적용	적용	미적용	미적용	홍길동54	정기점검
P1	EF1	BANK129	22900	25	30	2024-08-17	2020-06-01	0	0	75	0	51	80	158	965	23102	49876	30	35.9	56	45.2	50.5	48.3	58.9	58.8	47.5	0.03	24.3	2020-06-01	0	0	8	0	0	양호	이상	9000	Vaccum	정상	정상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	미적용	적용	적용	홍길동55	정기점검
H1	EF1	BANK130	154000	35	100	2020-01-03	2020-06-01	0	0	75	394	70	99	95	2659	22260	51592	60	91.6	41	38.6	55.6	56.4	41.9	39.4	44.7	0.02	28.0	2020-06-01	0	0	10	0	0	이상	정상	0	Vaccum	정상	정상	유입	옥내	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용	홍길동56	정기점검
P1	EF1	TR127	154000	80	43.75	2022-05-27	2020-06-01	0	0	43	288	42	77	510	919	22352	52594	60	52.6	43	41.8	58.6	50.3	36.0	46.5	56.4	0.02	15.8	2020-06-01	0	0	17	0	0	이상	정상	18000	Vaccum	정상	정상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	미적용	홍길동57	정기점검
K1	EF1	TR128	22900	30	30	2016-08-05	2020-06-01	0	0	17	288	73	1	379	2493	21365	98238	30	5.4	41	49.6	59.6	58.7	42.1	56.8	41.9	0.02	32.3	2020-06-01	0	0	20	0	0	양호	이상	9000	Vaccum	이상	정상	유입	옥외	불가	N+N	미적용	적용	미적용	4	5	적용	미적용	적용	적용	적용	적용	적용	홍길동58	정기점검
K1	EF1	TR129	22900	80	43.75	2024-04-27	2020-06-01	0	0	49	394	44	45	510	2814	24915	46408	30	35.8	60	38.5	50.2	59.2	55.4	33.4	53.8	0.02	32.5	2020-06-01	0	0	0	0	0	이상	정상	18000	Vaccum	이상	이상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용	홍길동59	정기점검
H2	EF1	BANK131	154000	25	37.5	2019-01-17	2020-06-01	0	0	96	394	43	75	394	2379	20519	93960	-17	10.5	60	51.5	53.7	31.1	43.0	53.8	39.1	0.02	17.9	2020-06-01	0	0	8	0	0	이상	이상	18000	Oil	정상	이상	유입	옥외	불가	N+0	미적용	미적용	미적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동60	정기점검
P1	EF1	TR130	22900	80	43.75	2018-11-14	2020-06-01	0	0	8	0	2	46	537	2902	18032	86212	1	95.3	49	44.7	43.1	55.0	51.9	32.8	37.2	0.02	28.8	2020-06-01	0	0	5	0	0	이상	정상	13000	Oil	정상	정상	몰드	옥내	불가	N+N	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	적용	미적용	홍길동61	정기점검
H2	EF1	TR131	154000	35	43.75	2023-06-29	2020-06-01	0	0	76	288	66	49	261	2509	27696	81655	-1	73.7	49	32.0	49.1	34.2	37.8	38.1	50.2	0.02	18.2	2020-06-01	0	0	0	0	0	이상	이상	13000	Oil	정상	정상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동62	정기점검
P1	EF1	BANK132	22900	30	100	2022-07-21	2020-06-01	0	0	52	394	8	92	364	934	24570	93956	-1	5.3	58	40.1	51.8	53.6	54.2	47.5	41.2	0.03	23.7	2020-06-01	0	0	1	0	0	이상	이상	9000	Vaccum	정상	이상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	미적용	미적용	적용	적용	적용	홍길동63	정기점검
P1	EF1	TR132	154000	30	100	2015-04-07	2020-06-01	0	0	51	288	71	50	171	2726	20488	67318	30	88.9	60	57.0	33.4	51.9	48.1	56.1	57.4	0.03	20.3	2020-06-01	0	0	7	0	0	이상	이상	13000	Oil	정상	정상	몰드	옥내	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동64	정기점검
K1	EF1	BANK133	154000	35	37.5	2017-12-29	2020-06-01	0	0	72	0	82	86	369	2323	13640	75226	1	36.6	45	55.3	42.8	48.7	42.8	54.2	44.2	0.03	21.9	2020-06-01	0	0	9	0	0	이상	이상	13000	Vaccum	이상	이상	몰드	옥외	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용	홍길동65	정기점검
K1	EF1	BANK134	154000	25	37.5	2018-08-07	2020-06-01	0	0	39	0	41	68	439	2949	14912	92859	1	76.4	47	35.7	56.9	37.9	59.4	30.2	46.3	0.02	29.5	2020-06-01	0	0	2	0	0	양호	정상	6000	Vaccum	정상	정상	유입	옥외	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용	홍길동66	정기점검
K1	EF1	TR133	154000	25	100	2017-06-21	2020-06-01	0	0	77	0	71	63	97	1129	12196	49261	-1	88.4	42	33.1	37.0	46.0	46.5	47.5	49.8	0.02	29.2	2020-06-01	0	0	9	0	0	양호	정상	6000	Oil	이상	이상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	미적용	적용	적용	적용	미적용	적용	적용	홍길동67	정기점검
