사업장명	EF_code	변압기명	전압	ONAN_val	ONAF_val	operation_start_time	dga_diag_time	dga_h2	dga_c2h2	dga_c2h4	dga_c2h6	dga_ch4	dga_c3h8	dga_co	dga_co2	dga_o2	dga_n2	dga_fluc	load_percent	coil_max_temp	dielec_str_te_1	dielec_str_te_2	dielec_str_te_3	dielec_str_te_4	dielec_str_te_5	dielec_str_te_6	acid_measure_val	moisture_rslt	furan_diag_time	furan_5H2F	furan_2FOL	furan_2FAL	furan_2ACF	furan_5M2F	part_discharge_diag	oltc_96T_diag	oltc_rslt	oltc_type	thermal_img_temp	noise_diag	fire_vul_type	fire_spread_loc	emerge_response_1s	redundancy	ato	online_og_chk	offline_safety_chk	sec_num	alarm_num	insul_1st_lvup	high_insul_adt	double_insul	55k_install	sfra_test	rip_install	vacuum_set
K1	EF1	TR57	154000	35	37.5	2023-05-01	2020-06-01	0	0	98	288	53	74	391	917	9125	51737	60	89.2	57	57.5	46.9	53.7	50.8	40.9	57.2	0.03	15.2	2020-06-01	0	0	17	0	0	이상	정상	9000	Vaccum	정상	이상	몰드	옥내	가능	N+0	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용
K1	EF1	TR58	154000	35	43.75	2021-08-09	2020-06-01	0	0	22	288	10	26	462	1058	10444	66354	-17	21.7	55	33.5	34.5	52.9	49.5	58.5	58.4	0.02	18.6	2020-06-01	0	0	17	0	0	이상	정상	0	Vaccum	정상	이상	몰드	옥내	불가	N+N	적용	적용	미적용	4	5	적용	미적용	미적용	적용	적용	미적용	적용
P1	EF1	BANK60	22900	25	37.5	2015-08-10	2020-06-01	0	0	83	394	60	66	136	1068	24974	35394	-17	53.9	41	57.8	37.1	31.4	55.1	45.1	40.3	0.03	35.0	2020-06-01	0	0	15	0	0	양호	정상	6000	Vaccum	정상	정상	몰드	옥외	가능	N+N	적용	적용	적용	4	5	미적용	미적용	적용	적용	적용	적용	적용
K1	EF1	BANK61	154000	25	100	2024-12-13	2020-06-01	0	0	59	394	70	69	172	1959	24315	56418	1	36.3	50	53.0	35.2	32.1	58.4	34.9	46.8	0.03	26.2	2020-06-01	0	0	19	0	0	양호	정상	13000	Oil	이상	이상	몰드	옥외	가능	N+1	적용	적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용
H1	EF1	BANK62	154000	35	30	2020-07-27	2020-06-01	0	0	5	394	69	36	604	1287	23923	75125	30	1.0	44	40.3	58.2	56.0	41.6	51.0	56.7	0.03	24.8	2020-06-01	0	0	19	0	0	이상	정상	13000	Vaccum	정상	정상	유입	옥외	불가	N+1	적용	적용	적용	4	5	미적용	적용	적용	적용	미적용	미적용	적용
H2	EF1	TR59	22900	35	43.75	2019-02-09	2020-06-01	0	0	64	0	69	61	411	2224	26683	58232	-1	60.6	58	34.7	57.9	58.9	34.1	39.7	35.0	0.02	30.8	2020-06-01	0	0	4	0	0	양호	이상	6000	Oil	정상	정상	몰드	옥외	불가	N+N	적용	미적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용
P1	EF1	BANK63	22900	35	30	2023-12-07	2020-06-01	0	0	88	0	2	22	643	1323	23212	96779	1	29.1	41	43.4	49.4	48.9	46.6	38.3	54.4	0.02	33.9	2020-06-01	0	0	5	0	0	이상	정상	6000	Vaccum	정상	이상	몰드	옥외	불가	N+1	적용	적용	적용	4	5	미적용	적용	미적용	적용	적용	적용	적용
K1	EF1	TR60	22900	30	30	2017-04-29	2020-06-01	0	0	17	0	17	53	568	1584	15576	77088	60	20.7	55	55.5	37.0	41.6	36.6	31.0	53.2	0.02	32.6	2020-06-01	0	0	2	0	0	이상	이상	18000	Oil	정상	정상	유입	옥외	가능	N+N	미적용	미적용	적용	4	5	적용	적용	적용	적용	적용	미적용	미적용
K1	EF1	TR61	22900	25	43.75	2015-11-08	2020-06-01	0	0	64	0	91	40	451	1257	22473	81070	1	32.4	56	54.9	35.7	58.9	40.6	41.4	32.8	0.02	34.1	2020-06-01	0	0	15	0	0	이상	이상	18000	Oil	정상	정상	몰드	옥외	가능	N+1	적용	적용	적용	4	5	미적용	적용	적용	적용	적용	적용	적용
K1	EF1	TR62	154000	35	100	2016-07-05	2020-06-01	0	0	17	288	89	42	161	2183	26682	31691	-17	78.9	54	39.7	33.7	41.7	55.1	38.4	54.5	0.03	17.6	2020-06-01	0	0	20	0	0	이상	정상	6000	Oil	이상	이상	유입	옥외	가능	N+N	미적용	적용	적용	4	5	미적용	미적용	적용	적용	적용	적용	적용
K1	EF1	BANK64	22900	30	43.75	2017-04-03	2020-06-01	0	0	47	288	11	12	164	961	19081	96639	-17	98.8	42	48.3	52.2	57.6	49.3	47.9	53.0	0.03	17.5	2020-06-01	0	0	10	0	0	이상	정상	18000	Vaccum	이상	정상	몰드	옥내	불가	N+N	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용
H1	EF1	TR63	154000	35	100	2016-02-03	2020-06-01	0	0	74	394	9	63	238	1591	16983	93421	60	40.9	49	56.6	59.3	56.9	36.2	44.1	51.9	0.02	18.6	2020-06-01	0	0	8	0	0	양호	이상	6000	Oil	이상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
P1	EF1	TR64	154000	30	30	2023-01-13	2020-06-01	0	0	94	0	13	63	581	539	16254	65236	30	68.7	51	48.8	35.2	41.8	46.1	40.4	32.8	0.03	17.7	2020-06-01	0	0	15	0	0	이상	정상	6000	Oil	이상	정상	몰드	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	미적용	적용
P1	EF1	BANK65	22900	80	30	2017-09-08	2020-06-01	0	0	22	288	86	31	381	1106	15969	81119	-17	88.2	56	37.3	49.7	33.4	37.1	33.2	42.6	0.02	18.9	2020-06-01	0	0	4	0	0	이상	이상	9000	Vaccum	정상	정상	유입	옥외	가능	N+0	적용	미적용	미적용	4	5	미적용	적용	적용	적용	적용	적용	적용
H1	EF1	BANK66	154000	25	37.5	2020-12-03	2020-06-01	0	0	4	288	93	88	500	859	29370	78614	30	4.3	50	45.5	51.3	40.4	34.0	49.3	43.7	0.03	35.0	2020-06-01	0	0	6	0	0	양호	정상	9000	Oil	정상	정상	몰드	옥외	가능	N+1	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H2	EF1	BANK67	154000	35	30	2019-01-16	2020-06-01	0	0	11	394	64	73	396	2064	27319	41448	-1	96.3	43	50.0	51.8	32.1	55.3	50.6	52.6	0.03	28.4	2020-06-01	0	0	14	0	0	양호	이상	0	Oil	정상	정상	유입	옥외	불가	N+0	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	미적용	적용
H1	EF1	BANK68	22900	35	30	2016-10-08	2020-06-01	0	0	23	288	18	74	289	963	26654	42110	60	23.7	42	47.5	31.2	40.1	37.5	31.4	34.1	0.02	28.1	2020-06-01	0	0	2	0	0	이상	정상	0	Vaccum	정상	정상	몰드	옥외	가능	N+N	적용	적용	미적용	4	5	미적용	미적용	적용	적용	적용	적용	적용
P1	EF1	TR65	22900	25	30	2019-01-12	2020-06-01	0	0	31	394	84	11	493	1854	13887	58641	-17	98.6	52	33.5	41.4	48.9	58.8	37.0	37.2	0.03	33.7	2020-06-01	0	0	13	0	0	양호	정상	13000	Vaccum	이상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	미적용	적용	미적용	적용	적용
P1	EF1	TR66	22900	30	37.5	2022-10-04	2020-06-01	0	0	7	0	20	67	267	2160	13779	56792	1	57.5	55	36.8	56.0	34.7	45.1	36.2	33.6	0.02	22.4	2020-06-01	0	0	4	0	0	양호	정상	0	Oil	정상	이상	유입	옥외	가능	N+0	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용
K1	EF1	TR67	22900	35	100	2017-09-19	2020-06-01	0	0	68	0	64	37	563	767	15953	48699	1	52.3	46	35.9	30.5	54.8	38.2	34.4	38.3	0.03	30.0	2020-06-01	0	0	13	0	0	양호	이상	18000	Oil	정상	이상	몰드	옥내	불가	N+1	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	미적용	적용
K1	EF1	TR68	22900	30	100	2018-04-28	2020-06-01	0	0	66	0	36	89	543	1187	25900	60961	-1	5.2	54	56.9	52.6	51.8	45.5	35.5	42.0	0.02	22.4	2020-06-01	0	0	10	0	0	양호	이상	0	Oil	정상	정상	유입	옥내	불가	N+N	적용	미적용	미적용	4	5	적용	적용	적용	적용	미적용	적용	적용
H2	EF1	BANK69	154000	30	37.5	2021-12-18	2020-06-01	0	0	18	288	43	11	396	1961	9249	33793	-1	11.0	43	44.5	45.6	36.2	35.0	45.9	31.4	0.03	19.5	2020-06-01	0	0	7	0	0	양호	정상	18000	Oil	정상	정상	몰드	옥외	불가	N+0	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	미적용
P1	EF1	TR69	22900	25	30	2020-10-24	2020-06-01	0	0	74	0	77	94	481	1652	16272	49764	1	2.6	53	55.5	43.2	57.6	55.5	51.4	53.6	0.02	23.3	2020-06-01	0	0	3	0	0	이상	정상	6000	Vaccum	이상	정상	유입	옥외	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용
K1	EF1	BANK70	22900	35	43.75	2020-02-06	2020-06-01	0	0	39	288	14	3	353	1059	10055	32479	1	30.2	42	56.6	56.5	32.6	49.9	58.1	33.3	0.03	20.4	2020-06-01	0	0	4	0	0	양호	이상	18000	Vaccum	이상	정상	유입	옥외	가능	N+N	적용	적용	적용	4	5	적용	미적용	적용	적용	적용	적용	미적용
H1	EF1	TR70	22900	30	37.5	2018-11-14	2020-06-01	0	0	60	288	97	64	92	2603	11355	44045	-17	60.8	59	31.4	52.4	56.0	37.6	36.9	55.2	0.03	30.8	2020-06-01	0	0	0	0	0	이상	이상	0	Oil	이상	정상	몰드	옥외	불가	N+N	미적용	미적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용
P1	EF1	TR71	22900	80	43.75	2016-07-28	2020-06-01	0	0	31	288	28	77	237	1603	11245	59940	-17	10.7	59	42.2	51.2	59.8	47.8	56.3	30.3	0.03	26.7	2020-06-01	0	0	0	0	0	양호	이상	18000	Vaccum	이상	정상	유입	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	미적용	미적용	적용	적용	적용
H2	EF1	TR72	154000	35	43.75	2023-09-07	2020-06-01	0	0	61	0	85	13	322	779	14760	48092	60	85.2	46	48.8	45.3	33.3	56.5	35.6	53.8	0.02	17.5	2020-06-01	0	0	11	0	0	이상	이상	18000	Vaccum	정상	이상	유입	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H2	EF1	TR73	22900	80	43.75	2017-09-02	2020-06-01	0	0	12	394	86	53	158	998	26245	44361	60	0.2	44	54.4	51.8	33.2	40.3	42.7	34.6	0.03	17.7	2020-06-01	0	0	17	0	0	양호	정상	6000	Oil	정상	정상	유입	옥내	가능	N+N	적용	적용	미적용	4	5	적용	미적용	적용	적용	적용	미적용	적용
K1	EF1	TR74	22900	80	30	2023-04-03	2020-06-01	0	0	68	288	22	98	384	1912	28938	75074	-17	69.7	57	53.4	59.4	32.0	31.7	41.9	59.5	0.02	32.8	2020-06-01	0	0	1	0	0	양호	이상	9000	Oil	이상	이상	유입	옥내	가능	N+0	미적용	미적용	미적용	4	5	적용	적용	적용	적용	미적용	적용	미적용
H2	EF1	BANK71	22900	30	43.75	2018-12-04	2020-06-01	0	0	14	288	73	80	285	1512	23741	52506	1	95.4	51	50.5	41.6	47.0	52.7	56.2	55.0	0.03	33.2	2020-06-01	0	0	14	0	0	양호	이상	6000	Oil	이상	이상	유입	옥외	가능	N+1	미적용	적용	적용	4	5	적용	미적용	미적용	적용	적용	미적용	적용
K1	EF1	BANK72	154000	80	43.75	2021-02-27	2020-06-01	0	0	81	288	44	64	143	2520	24843	76730	30	38.2	42	46.2	51.3	30.8	42.3	34.5	41.1	0.03	34.5	2020-06-01	0	0	8	0	0	양호	정상	0	Oil	정상	이상	몰드	옥내	가능	N+N	미적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H2	EF1	BANK73	154000	35	43.75	2018-04-03	2020-06-01	0	0	75	394	37	60	268	2640	10131	65645	60	54.2	50	35.1	37.0	48.5	58.7	40.2	32.4	0.03	28.2	2020-06-01	0	0	7	0	0	양호	정상	0	Vaccum	이상	이상	유입	옥외	가능	N+1	적용	적용	적용	4	5	적용	미적용	적용	미적용	적용	적용	적용
H1	EF1	BANK74	22900	35	100	2021-06-05	2020-06-01	0	0	46	0	12	58	555	2335	17240	64229	-17	38.0	56	52.6	56.2	59.4	37.8	34.4	38.2	0.02	15.0	2020-06-01	0	0	8	0	0	양호	정상	6000	Vaccum	이상	이상	유입	옥외	불가	N+1	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용
K1	EF1	BANK75	154000	30	43.75	2019-08-17	2020-06-01	0	0	82	0	98	97	473	2146	9513	84225	30	62.7	44	33.6	49.5	52.3	51.3	48.7	50.4	0.03	22.3	2020-06-01	0	0	10	0	0	이상	정상	9000	Oil	정상	정상	몰드	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H2	EF1	TR75	22900	25	37.5	2024-09-06	2020-06-01	0	0	81	0	86	14	169	1969	26608	52649	1	67.5	52	42.4	42.3	45.4	38.2	45.9	52.9	0.03	34.1	2020-06-01	0	0	4	0	0	양호	정상	13000	Oil	이상	정상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용
H2	EF1	BANK76	22900	25	100	2016-12-11	2020-06-01	0	0	55	0	91	36	454	1755	9990	62954	1	46.1	58	47.4	47.4	45.1	32.9	59.8	52.3	0.03	27.5	2020-06-01	0	0	16	0	0	이상	정상	18000	Oil	이상	정상	몰드	옥내	불가	N+1	적용	적용	미적용	4	5	미적용	적용	적용	미적용	적용	적용	적용
P1	EF1	BANK77	154000	80	100	2022-04-15	2020-06-01	0	0	84	394	99	89	435	1212	12671	57229	1	99.8	59	51.2	54.9	34.0	38.5	36.2	38.2	0.02	34.7	2020-06-01	0	0	13	0	0	양호	정상	13000	Oil	정상	정상	몰드	옥내	불가	N+0	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용
H1	EF1	TR76	22900	30	30	2022-03-03	2020-06-01	0	0	83	288	56	99	582	1853	18605	55369	60	63.8	52	54.3	40.1	44.7	30.6	36.9	45.7	0.03	23.0	2020-06-01	0	0	5	0	0	이상	정상	6000	Oil	이상	정상	몰드	옥내	불가	N+0	적용	적용	적용	4	5	적용	미적용	미적용	적용	미적용	적용	적용
H2	EF1	TR77	154000	25	100	2017-04-02	2020-06-01	0	0	86	0	6	31	598	867	19376	98681	1	39.9	52	48.3	50.4	44.0	58.9	54.1	50.9	0.03	19.9	2020-06-01	0	0	14	0	0	이상	정상	9000	Oil	이상	이상	몰드	옥내	가능	N+N	미적용	적용	적용	4	5	적용	적용	적용	적용	미적용	적용	적용
H1	EF1	TR78	22900	80	37.5	2022-07-06	2020-06-01	0	0	20	288	65	31	382	588	16489	84194	-1	65.2	51	37.0	58.1	34.4	54.9	51.1	33.2	0.03	31.9	2020-06-01	0	0	11	0	0	양호	정상	0	Vaccum	정상	정상	유입	옥내	불가	N+N	적용	적용	미적용	4	5	미적용	적용	미적용	적용	미적용	적용	적용
H2	EF1	TR79	22900	25	37.5	2017-02-28	2020-06-01	0	0	14	394	82	98	438	1067	26803	77896	-1	100.0	41	46.9	46.4	59.2	55.0	49.2	48.6	0.03	32.2	2020-06-01	0	0	17	0	0	양호	이상	0	Oil	이상	정상	몰드	옥내	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H1	EF1	TR80	22900	30	43.75	2019-06-28	2020-06-01	0	0	46	0	10	47	397	2272	20710	62480	-17	19.0	40	52.0	37.7	36.9	32.1	34.2	32.1	0.02	21.9	2020-06-01	0	0	3	0	0	양호	정상	9000	Oil	정상	정상	유입	옥내	불가	N+1	적용	적용	미적용	4	5	적용	적용	적용	적용	적용	미적용	적용
K1	EF1	TR81	22900	25	43.75	2019-04-23	2020-06-01	0	0	31	0	13	27	291	1989	10817	51561	30	57.6	51	35.6	46.4	43.6	45.3	47.7	46.4	0.03	27.0	2020-06-01	0	0	0	0	0	이상	이상	0	Vaccum	정상	정상	유입	옥내	가능	N+N	미적용	미적용	미적용	4	5	적용	적용	적용	적용	적용	미적용	적용
H2	EF1	BANK78	154000	25	43.75	2017-07-03	2020-06-01	0	0	40	0	84	21	119	2771	24110	32532	30	90.5	42	56.5	30.1	54.6	48.5	37.1	37.5	0.03	26.0	2020-06-01	0	0	15	0	0	이상	정상	13000	Oil	이상	정상	유입	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	미적용	적용	적용	적용	적용
P1	EF1	BANK79	154000	30	100	2018-07-30	2020-06-01	0	0	41	394	81	24	258	1283	27187	76401	-17	5.8	53	35.0	35.0	31.9	33.9	49.1	56.5	0.02	24.8	2020-06-01	0	0	14	0	0	양호	정상	13000	Vaccum	정상	정상	몰드	옥외	불가	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
P1	EF1	BANK80	22900	25	30	2016-11-18	2020-06-01	0	0	98	394	1	4	524	1040	19517	62322	30	68.2	46	30.6	34.7	53.8	47.3	39.3	44.8	0.03	29.3	2020-06-01	0	0	12	0	0	이상	이상	6000	Oil	이상	정상	몰드	옥내	가능	N+N	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	미적용
K1	EF1	TR82	154000	25	37.5	2024-07-10	2020-06-01	0	0	28	394	91	74	588	2321	9108	45824	60	10.5	48	31.6	43.3	41.5	54.3	57.7	32.6	0.02	28.6	2020-06-01	0	0	10	0	0	양호	정상	0	Vaccum	정상	이상	몰드	옥외	가능	N+0	적용	미적용	미적용	4	5	적용	적용	적용	미적용	적용	적용	적용
H1	EF1	BANK81	22900	30	30	2022-08-16	2020-06-01	0	0	41	288	98	92	134	1825	25273	67403	-17	28.0	59	40.5	39.0	32.1	36.3	42.8	54.2	0.02	18.6	2020-06-01	0	0	11	0	0	양호	이상	6000	Vaccum	정상	정상	몰드	옥내	가능	N+N	적용	적용	적용	4	5	적용	미적용	미적용	적용	미적용	미적용	적용
P1	EF1	TR83	22900	35	37.5	2018-06-15	2020-06-01	0	0	1	0	83	31	71	1349	18481	57295	60	20.3	58	56.5	47.2	42.9	42.7	49.4	35.2	0.03	26.2	2020-06-01	0	0	11	0	0	이상	정상	9000	Oil	정상	이상	유입	옥외	가능	N+N	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H1	EF1	BANK82	154000	35	30	2020-07-21	2020-06-01	0	0	52	288	64	57	310	2502	11528	47689	1	52.1	41	47.3	55.7	38.1	41.4	58.8	59.2	0.02	31.0	2020-06-01	0	0	5	0	0	양호	정상	6000	Vaccum	정상	정상	몰드	옥외	불가	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H2	EF1	TR84	22900	35	37.5	2015-10-03	2020-06-01	0	0	57	394	62	81	129	901	27986	32944	-1	2.4	60	59.6	32.3	54.9	36.3	54.5	43.9	0.03	33.5	2020-06-01	0	0	13	0	0	이상	정상	6000	Oil	이상	이상	유입	옥내	불가	N+0	적용	미적용	적용	4	5	미적용	적용	적용	적용	적용	적용	적용
K1	EF1	BANK83	154000	25	30	2018-07-02	2020-06-01	0	0	35	288	0	59	256	1264	9430	84125	1	94.2	56	43.8	36.3	40.4	33.3	44.6	36.4	0.02	21.8	2020-06-01	0	0	0	0	0	이상	정상	18000	Vaccum	정상	이상	유입	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	미적용	적용
P1	EF1	BANK84	154000	30	30	2021-07-20	2020-06-01	0	0	94	288	70	49	434	2351	25554	35431	-17	98.6	53	30.2	50.4	39.6	58.0	33.5	54.8	0.02	19.5	2020-06-01	0	0	6	0	0	이상	정상	18000	Vaccum	이상	정상	유입	옥내	불가	N+N	적용	미적용	적용	4	5	미적용	적용	미적용	적용	적용	적용	적용
H2	EF1	TR85	154000	25	37.5	2022-05-30	2020-06-01	0	0	72	0	71	82	468	1867	14545	34091	-17	61.4	58	47.9	31.2	40.5	39.0	48.0	47.4	0.02	21.1	2020-06-01	0	0	20	0	0	양호	정상	6000	Oil	정상	이상	유입	옥외	가능	N+N	적용	미적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
H2	EF1	TR86	154000	30	100	2022-12-18	2020-06-01	0	0	32	288	81	60	389	2859	26477	50703	60	7.9	42	55.0	44.7	55.8	57.5	48.4	58.9	0.03	20.7	2020-06-01	0	0	10	0	0	양호	정상	13000	Oil	이상	이상	몰드	옥외	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	미적용	적용	적용	적용
P1	EF1	BANK85	154000	25	37.5	2016-08-13	2020-06-01	0	0	24	288	81	1	72	785	20676	77097	-1	25.1	48	46.0	54.1	41.5	33.2	41.6	37.6	0.02	28.0	2020-06-01	0	0	0	0	0	이상	정상	9000	Vaccum	이상	이상	몰드	옥내	가능	N+1	적용	적용	적용	4	5	적용	적용	적용	적용	적용	적용	적용
